domain,source_file,source_table,record_category,source_row,row_key,payload_json
udfa,udfa_alternative_league_return_rules.csv,udfa_alternative_league_return_rules,rule,1,udfa_alternative_league_return_rules:1,"{""alt_path"":""ufl_cfl_showcase_return"",""definition"":""Player exits NFL, plays UFL/CFL/other league, returns for camp or PS."",""base_weight"":""0.38"",""min_years_away"":""1"",""max_years_away"":""3"",""return_quality_bonus_min"":""1"",""return_quality_bonus_max"":""5"",""notes"":""Use for productive alternative-league players.""}"
udfa,udfa_alternative_league_return_rules.csv,udfa_alternative_league_return_rules,rule,2,udfa_alternative_league_return_rules:2,"{""alt_path"":""camp_tryout_carousel"",""definition"":""Multiple NFL tryouts/camp stints without stable roster."",""base_weight"":""0.34"",""min_years_away"":""0"",""max_years_away"":""2"",""return_quality_bonus_min"":""0"",""return_quality_bonus_max"":""2"",""notes"":""Common longshot arc.""}"
udfa,udfa_alternative_league_return_rules.csv,udfa_alternative_league_return_rules,rule,3,udfa_alternative_league_return_rules:3,"{""alt_path"":""practice_squad_veteran_loop"",""definition"":""Bounces between PS/futures deals for several years."",""base_weight"":""0.2"",""min_years_away"":""0"",""max_years_away"":""1"",""return_quality_bonus_min"":""0"",""return_quality_bonus_max"":""3"",""notes"":""Common for QB/OL/DB/LB fringe players.""}"
udfa,udfa_alternative_league_return_rules.csv,udfa_alternative_league_return_rules,rule,4,udfa_alternative_league_return_rules:4,"{""alt_path"":""position_conversion_return"",""definition"":""Returns after changing position/weight/role."",""base_weight"":""0.08"",""min_years_away"":""1"",""max_years_away"":""3"",""return_quality_bonus_min"":""2"",""return_quality_bonus_max"":""7"",""notes"":""High variance story path.""}"
udfa,udfa_career_path_balance_targets.csv,udfa_career_path_balance_targets,validation_target,1,udfa_career_path_balance_targets:1,"{""metric_id"":""udfa_rookie_direct_53_rate"",""target_min"":""0.04"",""target_max"":""0.13"",""severity"":""warning"",""calculation_notes"":""Share of newly signed UDFAs making initial 53 active roster."",""notes"":""Should be possible but uncommon.""}"
udfa,udfa_career_path_balance_targets.csv,udfa_career_path_balance_targets,validation_target,2,udfa_career_path_balance_targets:2,"{""metric_id"":""udfa_rookie_practice_squad_rate"",""target_min"":""0.25"",""target_max"":""0.55"",""severity"":""warning"",""calculation_notes"":""Share of newly signed UDFAs landing on practice squad at some point in rookie year."",""notes"":""Main survival path.""}"
udfa,udfa_career_path_balance_targets.csv,udfa_career_path_balance_targets,validation_target,3,udfa_career_path_balance_targets:3,"{""metric_id"":""udfa_rookie_camp_exit_rate"",""target_min"":""0.35"",""target_max"":""0.65"",""severity"":""warning"",""calculation_notes"":""Share of UDFAs not retained on active/PS/IR after camp."",""notes"":""Prevents too many UDFAs sticking.""}"
udfa,udfa_career_path_balance_targets.csv,udfa_career_path_balance_targets,validation_target,4,udfa_career_path_balance_targets:4,"{""metric_id"":""udfa_long_term_starter_rate"",""target_min"":""0.01"",""target_max"":""0.06"",""severity"":""warning"",""calculation_notes"":""Share of UDFA entries becoming multi-season starters."",""notes"":""Rare but not impossible.""}"
udfa,udfa_career_path_balance_targets.csv,udfa_career_path_balance_targets,validation_target,5,udfa_career_path_balance_targets:5,"{""metric_id"":""udfa_star_outlier_rate"",""target_min"":""0.0005"",""target_max"":""0.008"",""severity"":""warning"",""calculation_notes"":""Share of UDFA entries becoming Pro Bowl/All-Pro caliber."",""notes"":""Very rare.""}"
udfa,udfa_career_path_balance_targets.csv,udfa_career_path_balance_targets,validation_target,6,udfa_career_path_balance_targets:6,"{""metric_id"":""active_roster_udfa_origin_share"",""target_min"":""0.1"",""target_max"":""0.3"",""severity"":""warning"",""calculation_notes"":""Year Zero active NFL players with UDFA origin across all veterans."",""notes"":""Reflects UDFAs being significant but not dominant.""}"
udfa,udfa_career_path_balance_targets.csv,udfa_career_path_balance_targets,validation_target,7,udfa_career_path_balance_targets:7,"{""metric_id"":""practice_squad_udfa_origin_share"",""target_min"":""0.35"",""target_max"":""0.65"",""severity"":""warning"",""calculation_notes"":""Practice squad players with UDFA origin."",""notes"":""PS should contain many UDFAs.""}"
udfa,udfa_career_path_balance_targets.csv,udfa_career_path_balance_targets,validation_target,8,udfa_career_path_balance_targets:8,"{""metric_id"":""udfa_qb_starter_rate"",""target_min"":""0.0"",""target_max"":""0.015"",""severity"":""warning"",""calculation_notes"":""Share of UDFA QBs becoming starters."",""notes"":""Extremely rare.""}"
udfa,udfa_career_path_balance_targets.csv,udfa_career_path_balance_targets,validation_target,9,udfa_career_path_balance_targets:9,"{""metric_id"":""udfa_special_teams_core_rate"",""target_min"":""0.04"",""target_max"":""0.15"",""severity"":""warning"",""calculation_notes"":""UDFA entries becoming ST core players."",""notes"":""Common viable path.""}"
udfa,udfa_career_path_generation_algorithm.csv,udfa_career_path_generation_algorithm,algorithm,1,udfa_career_path_generation_algorithm:1,"{""step_id"":""01"",""step_name"":""Identify draft-eligible players not selected in draft"",""implementation_detail"":""Use draft board, position demand, draft capital, medical, age, projection, and team boards."",""notes"":""Deterministic RNG stream required.""}"
udfa,udfa_career_path_generation_algorithm.csv,udfa_career_path_generation_algorithm,algorithm,2,udfa_career_path_generation_algorithm:2,"{""step_id"":""02"",""step_name"":""Assign undrafted eligibility grade band"",""implementation_detail"":""Map player to fringe_round6_7, round7_priority_fa, pfa, camp_grade, or tryout_only."",""notes"":""Deterministic RNG stream required.""}"
