domain,source_file,source_table,record_category,source_row,row_key,payload_json
nfl_reserve_status,nfl_reserve_status_balance_targets.csv,nfl_reserve_status_balance_targets,validation_target,1,nfl_reserve_status_balance_targets:1,"{""metric_id"":""avg_reserve_players_per_team_week1"",""target_min"":""0.9"",""target_max"":""2.6"",""hard_min"":""0.4"",""hard_max"":""3.5"",""notes"":""Keep Year Zero reserve/stash rare-ish. Some teams have none, some several.""}"
nfl_reserve_status,nfl_reserve_status_balance_targets.csv,nfl_reserve_status_balance_targets,validation_target,2,nfl_reserve_status_balance_targets:2,"{""metric_id"":""teams_with_zero_reserve_players_share"",""target_min"":""0.1"",""target_max"":""0.28"",""hard_min"":""0.05"",""hard_max"":""0.4"",""notes"":""Not every team should have IR/PUP/NFI/stash players.""}"
nfl_reserve_status,nfl_reserve_status_balance_targets.csv,nfl_reserve_status_balance_targets,validation_target,3,nfl_reserve_status_balance_targets:3,"{""metric_id"":""teams_with_5plus_reserve_players_share"",""target_min"":""0.06"",""target_max"":""0.18"",""hard_min"":""0.0"",""hard_max"":""0.28"",""notes"":""A few injury-cluster teams create realism without bloating every roster.""}"
nfl_reserve_status,nfl_reserve_status_balance_targets.csv,nfl_reserve_status_balance_targets,validation_target,4,nfl_reserve_status_balance_targets:4,"{""metric_id"":""league_ir_return_initial_total"",""target_min"":""12"",""target_max"":""36"",""hard_min"":""4"",""hard_max"":""50"",""notes"":""Initial IR-to-return players. Hard max also limited by 2 per team.""}"
nfl_reserve_status,nfl_reserve_status_balance_targets.csv,nfl_reserve_status_balance_targets,validation_target,5,nfl_reserve_status_balance_targets:5,"{""metric_id"":""league_reserve_pup_total"",""target_min"":""8"",""target_max"":""28"",""hard_min"":""2"",""hard_max"":""44"",""notes"":""Reserve PUP should exist but not dominate.""}"
nfl_reserve_status,nfl_reserve_status_balance_targets.csv,nfl_reserve_status_balance_targets,validation_target,6,nfl_reserve_status_balance_targets:6,"{""metric_id"":""league_reserve_nfi_nfill_total"",""target_min"":""4"",""target_max"":""18"",""hard_min"":""0"",""hard_max"":""32"",""notes"":""NFI/NF-Illness rarer than IR/PUP.""}"
nfl_reserve_status,nfl_reserve_status_balance_targets.csv,nfl_reserve_status_balance_targets,validation_target,7,nfl_reserve_status_balance_targets:7,"{""metric_id"":""league_season_ending_ir_total"",""target_min"":""6"",""target_max"":""30"",""hard_min"":""0"",""hard_max"":""50"",""notes"":""Season-ending startup injuries should be rare but present.""}"
nfl_reserve_status,nfl_reserve_status_balance_targets.csv,nfl_reserve_status_balance_targets,validation_target,8,nfl_reserve_status_balance_targets:8,"{""metric_id"":""franchise_core_reserve_share"",""target_min"":""0.02"",""target_max"":""0.12"",""hard_min"":""0.0"",""hard_max"":""0.2"",""notes"":""Do not hide too many stars on reserve at startup.""}"
nfl_reserve_status,nfl_reserve_status_balance_targets.csv,nfl_reserve_status_balance_targets,validation_target,9,nfl_reserve_status_balance_targets:9,"{""metric_id"":""ps_injured_total_if_supported"",""target_min"":""0"",""target_max"":""16"",""hard_min"":""0"",""hard_max"":""32"",""notes"":""Only use if implementation has separate practice squad injured bucket.""}"
nfl_reserve_status,nfl_reserve_status_contract_rules.csv,nfl_reserve_status_contract_rules,rule,1,nfl_reserve_status_contract_rules:1,"{""status"":""IR"",""counts_on_active_53"":""no"",""counts_on_regular_season_cap"":""yes"",""salary_treatment"":""normal_contract"",""year_zero_frequency"":""rare"",""notes"":""Use reserve statuses for roster/cap behavior during startup.""}"
nfl_reserve_status,nfl_reserve_status_contract_rules.csv,nfl_reserve_status_contract_rules,rule,2,nfl_reserve_status_contract_rules:2,"{""status"":""PUP"",""counts_on_active_53"":""no"",""counts_on_regular_season_cap"":""yes"",""salary_treatment"":""normal_contract"",""year_zero_frequency"":""rare"",""notes"":""Use reserve statuses for roster/cap behavior during startup.""}"
nfl_reserve_status,nfl_reserve_status_contract_rules.csv,nfl_reserve_status_contract_rules,rule,3,nfl_reserve_status_contract_rules:3,"{""status"":""NFI"",""counts_on_active_53"":""no"",""counts_on_regular_season_cap"":""conditional"",""salary_treatment"":""negotiated_or_reduced"",""year_zero_frequency"":""rare"",""notes"":""Use reserve statuses for roster/cap behavior during startup.""}"
nfl_reserve_status,nfl_reserve_status_contract_rules.csv,nfl_reserve_status_contract_rules,rule,4,nfl_reserve_status_contract_rules:4,"{""status"":""suspended"",""counts_on_active_53"":""depends"",""counts_on_regular_season_cap"":""conditional"",""salary_treatment"":""no_pay_or_reduced"",""year_zero_frequency"":""normal_for_practice_only"",""notes"":""Use reserve statuses for roster/cap behavior during startup.""}"
nfl_reserve_status,nfl_reserve_status_contract_rules.csv,nfl_reserve_status_contract_rules,rule,5,nfl_reserve_status_contract_rules:5,"{""status"":""practice"",""counts_on_active_53"":""no"",""counts_on_regular_season_cap"":""yes"",""salary_treatment"":""weekly_practice_squad"",""year_zero_frequency"":""normal_for_practice_only"",""notes"":""Use reserve statuses for roster/cap behavior during startup.""}"
nfl_reserve_status,nfl_reserve_status_duration_rules.csv,nfl_reserve_status_duration_rules,rule,1,nfl_reserve_status_duration_rules:1,"{""status_code"":""IR_RETURN"",""min_games_out"":""4"",""mode_games_out"":""6"",""max_games_out"":""12"",""practice_window_rule"":""21_days_after_designated_to_return"",""activation_rule"":""eligible_after_min_games_and_activation_window"",""counts_against_ir_return_limit"":""yes"",""notes"":""Use mode as default generated expected absence, then vary by injury severity and medical trait.""}"
nfl_reserve_status,nfl_reserve_status_duration_rules.csv,nfl_reserve_status_duration_rules,rule,2,nfl_reserve_status_duration_rules:2,"{""status_code"":""IR_SEASON"",""min_games_out"":""999"",""mode_games_out"":""999"",""max_games_out"":""999"",""practice_window_rule"":""none"",""activation_rule"":""not_eligible_this_season"",""counts_against_ir_return_limit"":""no"",""notes"":""Use mode as default generated expected absence, then vary by injury severity and medical trait.""}"
