domain,source_file,source_table,record_category,source_row,row_key,payload_json
transfer_repair,transfer_destination_overflow_resolution_rules.csv,transfer_destination_overflow_resolution_rules,rule,1,destination_over_105,"{""rule_id"":""destination_over_105"",""condition"":""destination active roster > 105 after portal signing"",""action_order"":""1_cut_lowest_non_scholarship_depth|2_move_lowest_depth_to_portal|3_medical_or_academic_non_counting_if_preexisting|4_block_signing"",""notes"":""Never allow >105 active roster.""}"
transfer_repair,transfer_destination_overflow_resolution_rules.csv,transfer_destination_overflow_resolution_rules,rule,2,protected_players,"{""rule_id"":""protected_players"",""condition"":""player has protected_new_signee or starter status"",""action_order"":""do_not_cut_unless_user_override"",""notes"":""Do not auto-cut important generated players.""}"
transfer_repair,transfer_destination_overflow_resolution_rules.csv,transfer_destination_overflow_resolution_rules,rule,3,position_protection,"{""rule_id"":""position_protection"",""condition"":""cut would put position below minimum"",""action_order"":""skip_candidate"",""notes"":""Maintain playable depth.""}"
transfer_repair,transfer_destination_overflow_resolution_rules.csv,transfer_destination_overflow_resolution_rules,rule,4,class_protection,"{""rule_id"":""class_protection"",""condition"":""cut would violate class minimum"",""action_order"":""skip_candidate"",""notes"":""Avoid removing all seniors or all freshmen.""}"
transfer_repair,transfer_destination_overflow_resolution_rules.csv,transfer_destination_overflow_resolution_rules,rule,5,portal_chain_limit,"{""rule_id"":""portal_chain_limit"",""condition"":""too many overflow portal moves caused by signings"",""action_order"":""cap_chain_moves_then_block_more_signings"",""notes"":""Prevents infinite transfer-repair loops.""}"
transfer_repair,transfer_repair_class_balance_rules.csv,transfer_repair_class_balance_rules,rule,1,FR,"{""program_tier"":""national_elite"",""class_year"":""FR"",""target_share_after_repair"":""0.25"",""min_share"":""0.19"",""max_share"":""0.32"",""repair_weight_multiplier"":""1.25"",""notes"":""Repair should drift toward class balance but should not override position minimums.""}"
transfer_repair,transfer_repair_class_balance_rules.csv,transfer_repair_class_balance_rules,rule,2,RS_FR,"{""program_tier"":""national_elite"",""class_year"":""RS_FR"",""target_share_after_repair"":""0.14"",""min_share"":""0.08"",""max_share"":""0.21"",""repair_weight_multiplier"":""1.14"",""notes"":""Repair should drift toward class balance but should not override position minimums.""}"
transfer_repair,transfer_repair_class_balance_rules.csv,transfer_repair_class_balance_rules,rule,3,SO,"{""program_tier"":""national_elite"",""class_year"":""SO"",""target_share_after_repair"":""0.17"",""min_share"":""0.11"",""max_share"":""0.24"",""repair_weight_multiplier"":""1.17"",""notes"":""Repair should drift toward class balance but should not override position minimums.""}"
transfer_repair,transfer_repair_class_balance_rules.csv,transfer_repair_class_balance_rules,rule,4,RS_SO,"{""program_tier"":""national_elite"",""class_year"":""RS_SO"",""target_share_after_repair"":""0.12"",""min_share"":""0.06"",""max_share"":""0.19"",""repair_weight_multiplier"":""1.12"",""notes"":""Repair should drift toward class balance but should not override position minimums.""}"
transfer_repair,transfer_repair_class_balance_rules.csv,transfer_repair_class_balance_rules,rule,5,JR,"{""program_tier"":""national_elite"",""class_year"":""JR"",""target_share_after_repair"":""0.14"",""min_share"":""0.08"",""max_share"":""0.21"",""repair_weight_multiplier"":""1.14"",""notes"":""Repair should drift toward class balance but should not override position minimums.""}"
transfer_repair,transfer_repair_class_balance_rules.csv,transfer_repair_class_balance_rules,rule,6,RS_JR,"{""program_tier"":""national_elite"",""class_year"":""RS_JR"",""target_share_after_repair"":""0.08"",""min_share"":""0.02"",""max_share"":""0.15"",""repair_weight_multiplier"":""1.08"",""notes"":""Repair should drift toward class balance but should not override position minimums.""}"
transfer_repair,transfer_repair_class_balance_rules.csv,transfer_repair_class_balance_rules,rule,7,SR,"{""program_tier"":""national_elite"",""class_year"":""SR"",""target_share_after_repair"":""0.06"",""min_share"":""0"",""max_share"":""0.13"",""repair_weight_multiplier"":""1.06"",""notes"":""Repair should drift toward class balance but should not override position minimums.""}"
transfer_repair,transfer_repair_class_balance_rules.csv,transfer_repair_class_balance_rules,rule,8,RS_SR,"{""program_tier"":""national_elite"",""class_year"":""RS_SR"",""target_share_after_repair"":""0.04"",""min_share"":""0"",""max_share"":""0.11"",""repair_weight_multiplier"":""1.04"",""notes"":""Repair should drift toward class balance but should not override position minimums.""}"
transfer_repair,transfer_repair_class_balance_rules.csv,transfer_repair_class_balance_rules,rule,9,FR,"{""program_tier"":""high_power"",""class_year"":""FR"",""target_share_after_repair"":""0.23"",""min_share"":""0.17"",""max_share"":""0.3"",""repair_weight_multiplier"":""1.23"",""notes"":""Repair should drift toward class balance but should not override position minimums.""}"
transfer_repair,transfer_repair_class_balance_rules.csv,transfer_repair_class_balance_rules,rule,10,RS_FR,"{""program_tier"":""high_power"",""class_year"":""RS_FR"",""target_share_after_repair"":""0.14"",""min_share"":""0.08"",""max_share"":""0.21"",""repair_weight_multiplier"":""1.14"",""notes"":""Repair should drift toward class balance but should not override position minimums.""}"
transfer_repair,transfer_repair_class_balance_rules.csv,transfer_repair_class_balance_rules,rule,11,SO,"{""program_tier"":""high_power"",""class_year"":""SO"",""target_share_after_repair"":""0.17"",""min_share"":""0.11"",""max_share"":""0.24"",""repair_weight_multiplier"":""1.17"",""notes"":""Repair should drift toward class balance but should not override position minimums.""}"
transfer_repair,transfer_repair_class_balance_rules.csv,transfer_repair_class_balance_rules,rule,12,RS_SO,"{""program_tier"":""high_power"",""class_year"":""RS_SO"",""target_share_after_repair"":""0.13"",""min_share"":""0.07"",""max_share"":""0.2"",""repair_weight_multiplier"":""1.13"",""notes"":""Repair should drift toward class balance but should not override position minimums.""}"
transfer_repair,transfer_repair_class_balance_rules.csv,transfer_repair_class_balance_rules,rule,13,JR,"{""program_tier"":""high_power"",""class_year"":""JR"",""target_share_after_repair"":""0.14"",""min_share"":""0.08"",""max_share"":""0.21"",""repair_weight_multiplier"":""1.14"",""notes"":""Repair should drift toward class balance but should not override position minimums.""}"
transfer_repair,transfer_repair_class_balance_rules.csv,transfer_repair_class_balance_rules,rule,14,RS_JR,"{""program_tier"":""high_power"",""class_year"":""RS_JR"",""target_share_after_repair"":""0.08"",""min_share"":""0.02"",""max_share"":""0.15"",""repair_weight_multiplier"":""1.08"",""notes"":""Repair should drift toward class balance but should not override position minimums.""}"
transfer_repair,transfer_repair_class_balance_rules.csv,transfer_repair_class_balance_rules,rule,15,SR,"{""program_tier"":""high_power"",""class_year"":""SR"",""target_share_after_repair"":""0.07"",""min_share"":""0.01"",""max_share"":""0.14"",""repair_weight_multiplier"":""1.07"",""notes"":""Repair should drift toward class balance but should not override position minimums.""}"
transfer_repair,transfer_repair_class_balance_rules.csv,transfer_repair_class_balance_rules,rule,16,RS_SR,"{""program_tier"":""high_power"",""class_year"":""RS_SR"",""target_share_after_repair"":""0.04"",""min_share"":""0"",""max_share"":""0.11"",""repair_weight_multiplier"":""1.04"",""notes"":""Repair should drift toward class balance but should not override position minimums.""}"
