domain,source_file,source_table,record_category,source_row,row_key,payload_json
year_zero_core,year_zero_balance_targets.csv,year_zero_balance_targets,validation_target,1,year_zero_balance_targets:1,"{""metric_id"":""college_roster_size_all_teams"",""target_min"":""105"",""target_max"":""105"",""severity"":""fatal"",""calculation_notes"":""Every college team must have exactly 105 active roster players after portal repair.""}"
year_zero_core,year_zero_balance_targets.csv,year_zero_balance_targets,validation_target,2,year_zero_balance_targets:2,"{""metric_id"":""nfl_active_roster_size_all_teams"",""target_min"":""53"",""target_max"":""53"",""severity"":""fatal"",""calculation_notes"":""Every NFL team active roster must equal 53.""}"
year_zero_core,year_zero_balance_targets.csv,year_zero_balance_targets,validation_target,3,year_zero_balance_targets:3,"{""metric_id"":""nfl_practice_squad_size_all_teams"",""target_min"":""16"",""target_max"":""16"",""severity"":""fatal"",""calculation_notes"":""Every NFL team practice squad must equal 16.""}"
year_zero_core,year_zero_balance_targets.csv,year_zero_balance_targets,validation_target,4,year_zero_balance_targets:4,"{""metric_id"":""nfl_stash_players_per_team_avg"",""target_min"":""0.35"",""target_max"":""0.95"",""severity"":""warning"",""calculation_notes"":""IR/PUP/NFI/stash should be rare.""}"
year_zero_core,year_zero_balance_targets.csv,year_zero_balance_targets,validation_target,5,year_zero_balance_targets:5,"{""metric_id"":""college_90_plus_share"",""target_min"":""0.003"",""target_max"":""0.02"",""severity"":""warning"",""calculation_notes"":""Prevent college talent inflation.""}"
year_zero_core,year_zero_balance_targets.csv,year_zero_balance_targets,validation_target,6,year_zero_balance_targets:6,"{""metric_id"":""college_80_plus_share"",""target_min"":""0.035"",""target_max"":""0.115"",""severity"":""warning"",""calculation_notes"":""Elite college talent share guardrail.""}"
year_zero_core,year_zero_balance_targets.csv,year_zero_balance_targets,validation_target,7,year_zero_balance_targets:7,"{""metric_id"":""nfl_90_plus_count"",""target_min"":""8"",""target_max"":""42"",""severity"":""warning"",""calculation_notes"":""NFL scale should be harsh.""}"
year_zero_core,year_zero_balance_targets.csv,year_zero_balance_targets,validation_target,8,year_zero_balance_targets:8,"{""metric_id"":""nfl_80_plus_count"",""target_min"":""90"",""target_max"":""260"",""severity"":""warning"",""calculation_notes"":""Top NFL player population guardrail.""}"
year_zero_core,year_zero_balance_targets.csv,year_zero_balance_targets,validation_target,9,year_zero_balance_targets:9,"{""metric_id"":""draft_class_total"",""target_min"":""420"",""target_max"":""560"",""severity"":""warning"",""calculation_notes"":""Draft board plus UDFA depth.""}"
year_zero_core,year_zero_balance_targets.csv,year_zero_balance_targets,validation_target,10,year_zero_balance_targets:10,"{""metric_id"":""draft_class_from_college_link_rate"",""target_min"":""1.0"",""target_max"":""1.0"",""severity"":""fatal"",""calculation_notes"":""Every draft prospect must link to a generated college player.""}"
year_zero_core,year_zero_balance_targets.csv,year_zero_balance_targets,validation_target,11,year_zero_balance_targets:11,"{""metric_id"":""initial_transfer_portal_total"",""target_min"":""600"",""target_max"":""2200"",""severity"":""warning"",""calculation_notes"":""Depends on number of college teams. Mixed-quality portal.""}"
year_zero_core,year_zero_balance_targets.csv,year_zero_balance_targets,validation_target,12,year_zero_balance_targets:12,"{""metric_id"":""nfl_free_agent_total"",""target_min"":""300"",""target_max"":""520"",""severity"":""warning"",""calculation_notes"":""Initial free-agent pool should be meaningful but not massive.""}"
year_zero_core,year_zero_balance_targets.csv,year_zero_balance_targets,validation_target,13,year_zero_balance_targets:13,"{""metric_id"":""nfl_free_agent_starter_quality_share"",""target_min"":""0.015"",""target_max"":""0.055"",""severity"":""warning"",""calculation_notes"":""A few starter-quality FAs, not many.""}"
year_zero_core,year_zero_balance_targets.csv,year_zero_balance_targets,validation_target,14,year_zero_balance_targets:14,"{""metric_id"":""elite_program_rank_variance"",""target_min"":""1"",""target_max"":""30"",""severity"":""warning"",""calculation_notes"":""Elite programs should vary within wide ranges.""}"
year_zero_core,year_zero_debug_export_schema.csv,year_zero_debug_export_schema,debug_schema,1,year_zero_debug_export_schema:1,"{""field_name"":""debug_id"",""required"":""yes"",""example"":""yzdbg-000001"",""notes"":""Unique debug row id.""}"
year_zero_core,year_zero_debug_export_schema.csv,year_zero_debug_export_schema,debug_schema,2,year_zero_debug_export_schema:2,"{""field_name"":""entity_type"",""required"":""yes"",""example"":""college_player|nfl_veteran|draft_prospect|transfer|team"",""notes"":""Debug target.""}"
year_zero_core,year_zero_debug_export_schema.csv,year_zero_debug_export_schema,debug_schema,3,year_zero_debug_export_schema:3,"{""field_name"":""entity_id"",""required"":""yes"",""example"":""player-123"",""notes"":""Entity id.""}"
year_zero_core,year_zero_debug_export_schema.csv,year_zero_debug_export_schema,debug_schema,4,year_zero_debug_export_schema:4,"{""field_name"":""phase_id"",""required"":""yes"",""example"":""nfl_veterans"",""notes"":""Generation phase.""}"
year_zero_core,year_zero_debug_export_schema.csv,year_zero_debug_export_schema,debug_schema,5,year_zero_debug_export_schema:5,"{""field_name"":""seed_stream"",""required"":""yes"",""example"":""yz_nfl_veteran_paths"",""notes"":""RNG stream used.""}"
year_zero_core,year_zero_debug_export_schema.csv,year_zero_debug_export_schema,debug_schema,6,year_zero_debug_export_schema:6,"{""field_name"":""input_summary"",""required"":""yes"",""example"":""team tier contender, role starter, position QB"",""notes"":""Inputs that drove generation.""}"
year_zero_core,year_zero_debug_export_schema.csv,year_zero_debug_export_schema,debug_schema,7,year_zero_debug_export_schema:7,"{""field_name"":""roll_summary"",""required"":""yes"",""example"":""career path day_two_starter, injury clean, contract bridge"",""notes"":""Important sampled outcomes.""}"
year_zero_core,year_zero_debug_export_schema.csv,year_zero_debug_export_schema,debug_schema,8,year_zero_debug_export_schema:8,"{""field_name"":""rating_summary"",""required"":""yes"",""example"":""88 college -> 64 rookie -> 73 current NFL"",""notes"":""Rating path.""}"
