position_group,formula,rating_key,weight,notes
QB,overall,passing,0.36,Weights must sum to 1.0 after filtering.
QB,overall,awareness,0.2,Weights must sum to 1.0 after filtering.
QB,overall,athleticism,0.12,Weights must sum to 1.0 after filtering.
QB,overall,rushing,0.1,Weights must sum to 1.0 after filtering.
QB,overall,discipline,0.08,Weights must sum to 1.0 after filtering.
QB,overall,durability,0.08,Weights must sum to 1.0 after filtering.
QB,overall,speed,0.06,Weights must sum to 1.0 after filtering.
RB,overall,rushing,0.3,Weights must sum to 1.0 after filtering.
RB,overall,speed,0.18,Weights must sum to 1.0 after filtering.
RB,overall,athleticism,0.16,Weights must sum to 1.0 after filtering.
RB,overall,strength,0.12,Weights must sum to 1.0 after filtering.
RB,overall,receiving,0.08,Weights must sum to 1.0 after filtering.
RB,overall,awareness,0.08,Weights must sum to 1.0 after filtering.
RB,overall,durability,0.08,Weights must sum to 1.0 after filtering.
WR,overall,receiving,0.32,Weights must sum to 1.0 after filtering.
WR,overall,speed,0.2,Weights must sum to 1.0 after filtering.
WR,overall,athleticism,0.18,Weights must sum to 1.0 after filtering.
WR,overall,awareness,0.1,Weights must sum to 1.0 after filtering.
WR,overall,durability,0.08,Weights must sum to 1.0 after filtering.
WR,overall,rushing,0.06,Weights must sum to 1.0 after filtering.
WR,overall,discipline,0.06,Weights must sum to 1.0 after filtering.
TE,overall,receiving,0.2,Weights must sum to 1.0 after filtering.
TE,overall,blocking,0.18,Weights must sum to 1.0 after filtering.
TE,overall,strength,0.16,Weights must sum to 1.0 after filtering.
TE,overall,athleticism,0.12,Weights must sum to 1.0 after filtering.
TE,overall,awareness,0.12,Weights must sum to 1.0 after filtering.
TE,overall,speed,0.1,Weights must sum to 1.0 after filtering.
TE,overall,durability,0.12,Weights must sum to 1.0 after filtering.
OT,overall,blocking,0.34,Weights must sum to 1.0 after filtering.
OT,overall,strength,0.2,Weights must sum to 1.0 after filtering.
OT,overall,awareness,0.14,Weights must sum to 1.0 after filtering.
OT,overall,athleticism,0.1,Weights must sum to 1.0 after filtering.
OT,overall,discipline,0.1,Weights must sum to 1.0 after filtering.
OT,overall,durability,0.12,Weights must sum to 1.0 after filtering.
IOL,overall,blocking,0.34,Weights must sum to 1.0 after filtering.
IOL,overall,strength,0.22,Weights must sum to 1.0 after filtering.
IOL,overall,awareness,0.16,Weights must sum to 1.0 after filtering.
IOL,overall,discipline,0.1,Weights must sum to 1.0 after filtering.
IOL,overall,athleticism,0.08,Weights must sum to 1.0 after filtering.
IOL,overall,durability,0.1,Weights must sum to 1.0 after filtering.
EDGE,overall,tackling,0.2,Weights must sum to 1.0 after filtering.
EDGE,overall,athleticism,0.2,Weights must sum to 1.0 after filtering.
EDGE,overall,strength,0.18,Weights must sum to 1.0 after filtering.
EDGE,overall,speed,0.14,Weights must sum to 1.0 after filtering.
EDGE,overall,awareness,0.1,Weights must sum to 1.0 after filtering.
EDGE,overall,durability,0.1,Weights must sum to 1.0 after filtering.
EDGE,overall,discipline,0.08,Weights must sum to 1.0 after filtering.
IDL,overall,tackling,0.22,Weights must sum to 1.0 after filtering.
IDL,overall,strength,0.24,Weights must sum to 1.0 after filtering.
IDL,overall,athleticism,0.12,Weights must sum to 1.0 after filtering.
IDL,overall,awareness,0.12,Weights must sum to 1.0 after filtering.
IDL,overall,durability,0.14,Weights must sum to 1.0 after filtering.
IDL,overall,discipline,0.08,Weights must sum to 1.0 after filtering.
IDL,overall,speed,0.08,Weights must sum to 1.0 after filtering.
LB,overall,tackling,0.24,Weights must sum to 1.0 after filtering.
LB,overall,awareness,0.18,Weights must sum to 1.0 after filtering.
LB,overall,athleticism,0.16,Weights must sum to 1.0 after filtering.
LB,overall,speed,0.12,Weights must sum to 1.0 after filtering.
LB,overall,strength,0.12,Weights must sum to 1.0 after filtering.
LB,overall,coverage,0.1,Weights must sum to 1.0 after filtering.
LB,overall,durability,0.08,Weights must sum to 1.0 after filtering.
CB,overall,coverage,0.32,Weights must sum to 1.0 after filtering.
CB,overall,speed,0.22,Weights must sum to 1.0 after filtering.
CB,overall,athleticism,0.16,Weights must sum to 1.0 after filtering.
CB,overall,awareness,0.12,Weights must sum to 1.0 after filtering.
CB,overall,tackling,0.08,Weights must sum to 1.0 after filtering.
CB,overall,discipline,0.06,Weights must sum to 1.0 after filtering.
CB,overall,durability,0.04,Weights must sum to 1.0 after filtering.
S,overall,coverage,0.22,Weights must sum to 1.0 after filtering.
S,overall,tackling,0.18,Weights must sum to 1.0 after filtering.
S,overall,awareness,0.18,Weights must sum to 1.0 after filtering.
S,overall,speed,0.16,Weights must sum to 1.0 after filtering.
S,overall,athleticism,0.12,Weights must sum to 1.0 after filtering.
S,overall,strength,0.07,Weights must sum to 1.0 after filtering.
S,overall,durability,0.07,Weights must sum to 1.0 after filtering.
K,overall,kicking,0.55,Weights must sum to 1.0 after filtering.
K,overall,awareness,0.15,Weights must sum to 1.0 after filtering.
K,overall,discipline,0.15,Weights must sum to 1.0 after filtering.
K,overall,durability,0.1,Weights must sum to 1.0 after filtering.
K,overall,strength,0.05,Weights must sum to 1.0 after filtering.
P,overall,kicking,0.5,Weights must sum to 1.0 after filtering.
P,overall,awareness,0.16,Weights must sum to 1.0 after filtering.
P,overall,discipline,0.14,Weights must sum to 1.0 after filtering.
P,overall,durability,0.1,Weights must sum to 1.0 after filtering.
P,overall,strength,0.1,Weights must sum to 1.0 after filtering.
